lg_code,prefecture_code,xmin,ymin,xmax,ymax
01101,01,141.20189444916969,42.9976569464111,141.3896355507403,43.08611583757602
01102,01,141.26645500629365,43.06682083811137,141.4416063942199,43.18942236035383
01103,01,141.34323749661337,43.06841250503322,141.4572574972359,43.16694027867106
01104,01,141.36644555062185,43.022273891826785,141.47346221840678,43.10011055935502
01105,01,141.3524327758521,42.92956333338128,141.43406861227686,43.05796861336097
01106,01,140.99115834028532,42.78083861281192,141.3974133329591,43.12048027924163
01107,01,141.1528558371274,43.015195279438785,141.32827250257412,43.11695333332983
01108,01,141.44386749668774,43.007057774696705,141.50542167327183,43.09611889237317
01109,01,141.15227888516256,43.076392505210094,141.2859941627006,43.1603252793883
01110,01,141.38652555121337,42.88839527941877,141.48242221791122,43.026090837622235
01202,01,140.69274284021003,41.710102837676004,141.18742888463555,42.00935222512527
01203,01,140.84480980482886,43.06084027905581,141.29183167289352,43.23981922477759
01204,01,142.14827693872996,43.54430333293266,142.74145916990494,43.956223333240416
01205,01,140.90831730170225,42.30193805439785,141.05438897457168,42.437262505060744
01206,01,143.702830829979,42.84225250504926,144.48573429270357,43.53096361258082
01207,01,142.6870783402934,42.61486361296551,143.26829805401212,42.9528286130502
01208,01,143.13630500607132,43.59151805421499,144.12233972789636,44.18468694574614
01209,01,141.90304472113712,42.859797775447134,142.33018221813506,43.225259171174
01210,01,141.61108138819566,43.07536555857382,142.04385834039033,43.337722225000846
01211,01,144.0195511147923,43.776466667303,144.4332763943903,44.11574194633391
01212,01,141.6078933329112,43.75649610790924,141.9002586124452,43.99385804531272
01213,01,141.33933666655412,42.57486544118734,141.8297713881392,42.78771750465927
01214,01,141.56843610873966,45.169051667000986,142.05342472127404,45.522957359894406
01215,01,141.69442055766274,43.248441107970905,142.06216944196638,43.419682224755036
01216,01,142.04599138839205,43.206651108062374,142.36812138759217,43.66077166677917
01217,01,141.44439167283758,43.016069171355355,141.66880416328172,43.17271472120757
01218,01,141.97388389062928,43.48186527925941,142.14893916980702,43.64793944105253
01219,01,143.09514583741066,43.9915452785919,143.55904444864257,44.4007886132041
01220,01,142.17213917038657,43.91500472119111,142.90255250309576,44.29721527866235
01221,01,142.2780194422436,44.17254805414956,142.6404038912268,44.48309722525693
01222,01,141.7997055511704,43.143285278692815,142.16151888478885,43.358829171329376
01223,01,145.19560221756842,43.15884194569941,146.40814822266248,43.651462107990085
01224,01,141.17230306123747,42.68146444133106,141.86998138803085,42.953175000426086
01225,01,141.8782816727612,43.532491666857084,142.0861291700254,43.67239250481043
01226,01,141.86912277559577,43.44932055909669,141.99623277642172,43.563532225032304
01227,01,141.96920416314174,43.43607361280715,142.09347805386926,43.534871666894105
01228,01,141.96186416280102,43.63098750466975,142.24010221804315,44.04949777470273
01229,01,142.2716688850112,43.15668889227874,142.67757972782238,43.40136555907344
01230,01,140.96859944211076,42.35192110837261,141.18913920900752,42.5548197209535
01231,01,141.23555583683253,42.79572361305446,141.65266749740726,42.987408892006954
01233,01,140.77313927415832,42.3796770987193,141.19908416310386,42.827313891722895
01234,01,141.41360500586654,42.89145777495651,141.59723472090582,43.02480389158649
01235,01,141.24749581098308,43.13362083843111,141.59770082962973,43.73778610844232
01236,01,140.42750250303823,41.72283658583996,140.71956138804785,41.99983999961648
01303,01,141.39817000004564,43.1617822251697,141.72776444867054,43.58486333277676
01304,01,141.56656027223892,43.1576366670987,141.6725936060103,43.286125837637485
